lastname	firstname	cp_name	tags	pseudonyms
Aalto	Alvar	Alvar Aalto	architecture, high contrast	
Aarons	Slim	Slim Aarons	vibrant, photography, scene	
Abbey	Edwin Austin	Edwin Austin Abbey	scene, realism	
Abercrombie	Gertrude	Gertrude Abercrombie	surrealism, dark,	
Abramović	Marina	Marina Abramović	scene, photography	
Abts	Tomma	Tomma Abts	abstract, angular	
Acconci	Vito	Vito Acconci	dark, installation, architecture, sculpture	
Achenbach	Andreas	Andreas Achenbach	landscape, seascape, romanticism	
Ackroyd	Norman	Norman Ackroyd	landscape, monochromatic, high contrast	
Adams	Ansel	Ansel Adams	monochromatic, high contrast	
Adams	Arthur	Arthur Adams	detailed, clean	
Adams	Neal	Neal Adams	comics	
Adamski	Josh	Josh Adamski	landscape, vibrant	
Addams	Charles	Charles Addams	monochromatic, scene	
Adnan	Etel	Etel Adnan	abstract, vibrant, landscape	
Adolfsson	Mattias	Mattias Adolfsson	detailed, whimsical, watercolor	
Aenami	Alena	Alena Aenami	vibrant, landscape, digital	
Aertsen	Pieter	Pieter Aertsen	detailed, scene, renaissance	
af Klint	Hilma	Hilma af Klint	abstract, low contrast	
Affandi Affandi	expressionism, messy, abstract, scene	
Afremov	Leonid	Leonid Afremov	vibrant, stained glass, impressionism	
Agam	Yaacov	Yaacov Agam	vibrant, colorful, abstract, angular	
Agar	Eileen	Eileen Agar	vibrant, abstract, collage	
Agasse	Jacques-Laurent	Jacques-Laurent Agasse	landscape, animals	
Aitchison	Craigie	Craigie Aitchison	vibrant, primitivism, figurativism	
Aitken	Doug	Doug Aitken	installation, photography, sculpture	
Aivazovsky	Ivan	Ivan Aivazovsky	dark, landscape, romanticism	
Aja	David	David Aja	high contrast, comics	
Akrami	Sherry	Sherry Akrami	monochromatic, photography, surrealism, nature	
Alakbarov	Rashad	Rashad Alakbarov	installation, light	
Albers	Anni	Anni Albers	textile, bauhaus	
Albers	Josef	Josef Albers	bauhaus, high contrast	
Albi	Alessio	Alessio Albi	photography, portrait	
Albright	Ivan	Ivan Albright	dark, messy, impressionism	
Albuquerque	Rafael	Rafael Albuquerque	comics, high contrast	
Aldridge	Miles	Miles Aldridge	photography, portrait, surrealism, pop art	
Alemany	Alex	Alex Alemany	symbolism, magical realism, surrealism	
Alexander	John White	John White Alexander	portrait, art nouveau, symbolism	
Allingham	Helen	Helen Allingham	watercolor, landscape, scene	
Allori	Alessandro	Alessandro Allori	portrait, renaissance	
Allred	Mike	Mike Allred	comics, vibrant	
Alm	Nick	Nick Alm	figurativism, realism, portrait	
Alma-Tadema	Lawrence	Lawrence Alma-Tadema	scene, romanticism	
Alvarado	Lilia	Lilia Alvarado	photography, scene, portrait	
Alzamora	Emil	Emil Alzamora	sculpture	
Amano	Yoshitaka	Yoshitaka Amano	messy, dark,	
Amer	Ghada	Ghada Amer	abstract, portrait	
Amiet	Cuno	Cuno Amiet	impressionism, portrait, landscape	
Amor	Rick	Rick Amor	landscape, streetscape	
Amorsolo	Fernando	Fernando Amorsolo	realism, scene	
Anacleto	Jay	Jay Anacleto	comics, detailed	
Anatsui	El	El Anatsui	abstract, sculpture, texture, melanin	
Ancher	Anna	Anna Ancher	impressionism, scene	
Ancher	Michael	Michael Ancher	impressionism, realism, scene	
Andersen	Hans Christian	Hans Christian Andersen	romanticism, art nouveau	
Andersen	Sarah	Sarah Andersen	cartoon, comics, high contrast	
Anderson	Richard	Richard Anderson	digital, fantasy, dark, messy	
Anderson	Sophie	Sophie Anderson	character, portrait	
Anderson	Wes	Wes Anderson	vibrant, whimsical, photography	
Ando	Tadao	Tadao Ando	angular, architecture	
Andreev	Alex	Alex Andreev	landscape, high contrast, vibrant	
Andrews	Esao	Esao Andrews	surrealism, dark,	
Angelico	Fra	Fra Angelico	renaissance, scene	
Angrand	Charles	Charles Angrand	impressionism, clean	
Anguissola	Sofonisba	Sofonisba Anguissola	renaissance, portrait	
Aniela	Miss	Miss Aniela	whimsical, photography, scene	
Anker	Albrecht	Albrecht Anker	realism, scene, portrait	
Anning	Mary	Mary Anning	scene, landscape	
Anquetin	Louis	Louis Anquetin	impressionism, portrait, scene	
Ansell	Mary Jane	Mary Jane Ansell	portrait, still life, photorealism	
Ansin	Martin	Martin Ansin	detailed, high contrast	
Antoni	Janine	Janine Antoni	sculpture	
Aoshima	Chiho	Chiho Aoshima	pop art, colorful, whimsical, anime, fantasy, vibrant	
Apterus	Sabbas	Sabbas Apterus	digital, dark, scene	Peter Polach
Arad	Ron	Ron Arad	architecture	Giorgione
Aragonés	Sergio	Sergio Aragonés	cartoon, comics	
Araki	Hirohiko	Hirohiko Araki	manga	
Araki	Nobuyoshi	Nobuyoshi Araki	photography, scene	
Aramaki	Shinji	Shinji Aramaki	anime, scene, character	
Arbus	Diane	Diane Arbus	photography, monochromatic, scene	
Arcangel	Cory	Cory Arcangel	high contrast, colorful, installation	
Archillect Archillect	monochromatic, dark, photography	
Archipenko	Alexander	Alexander Archipenko	sculpture, abstract, cubism	Olexandr Archipenko
Arcimboldo	Giuseppe	Giuseppe Arcimboldo	dark, fruit	
Ardon	Mordecai	Mordecai Ardon	abstract, figurativism, expressionism	
Argyle	Steve	Steve Argyle	fantasy, character	
Arian	Mark	Mark Arian	character, realism	
Arkhipov	Abram Efimovich	Abram Efimovich Arkhipov	realism, scene	
Arkley	Howard	Howard Arkley	architecture, vibrant, colorful, detailed	
Armstrong	Rolf	Rolf Armstrong	character, vibrant, art nouveau, art deco	
Arnegger	Alois	Alois Arnegger	romanticism, landscape	
Arnold	Eve	Eve Arnold	photography, monochromatic	
Arntz	Gerd	Gerd Arntz	graphic design, high contrast, flat colors, monochromatic	
Arntzenius	Floris	Floris Arntzenius	realism, streetscape, scene	
Aroch	Guy	Guy Aroch	photography, fashion, portrait	
Aronson	Ben	Ben Aronson	cityscape, streetscape, realism, impressionism	
Arp	Jean	Jean Arp	abstract, high contrast	
Arrivabene	Agostino	Agostino Arrivabene	renaissance, dark, surrealism, low contrast	
Arsham	Daniel	Daniel Arsham	sculpture, installation	
Artgerm Artgerm	character	Stanley Lau
Asai	Miki	Miki Asai	photography, vibrant	
Asano	Inio	Inio Asano	manga, scene	
Ascher	Clemens	Clemens Ascher	photography, vibrant, high contrast	
Asencio	Henry	Henry Asencio	dark, messy, expressionism, impressionism, abstract, figurativism, portrait	
Atget	Eugène	Eugène Atget	photography, surrealism, monochromatic, architecture, dark	
Atroshenko	Andrew	Andrew Atroshenko	portrait, impressionism, figurativism	
Audubon	John James	John James Audubon	birds, realism, watercolor	
Auerbach	Frank	Frank Auerbach	dark, expressionism	
Ault	George	George Ault	surrealism, dark, angular, high contrast	
Avercamp	Hendrick	Hendrick Avercamp	landscape, scene	
Averin	Alexandr	Alexandr Averin	scene, impressionism	
Avery	Milton	Milton Avery	low contrast, abstract	
Avery	Tex	Tex Avery	whimsical, storybook realism	
Azzopardi	Deborah	Deborah Azzopardi	pop art, cartoon, vibrant	
Baade	Carrie Ann	Carrie Ann Baade	detailed, surrealism, pop art	
Baars	Ingrid	Ingrid Baars	high contrast, photography, dark, portrait, monochromatic	
Bachalo	Chris	Chris Bachalo	comics, high contrast	
Bachelier	Anne	Anne Bachelier	portrait, surrealism	
Backer	Harriet	Harriet Backer	scene, impressionism	
Bacon	Francis	Francis Bacon	expressionism,	
Baes	Firmin	Firmin Baes	impressionism, portrait, still life, landscape	
Bagge	Peter	Peter Bagge	comics, whimsical, high contrast	
Bagshaw	Tom	Tom Bagshaw	character, dark, fantasy, scene	
Baheux	Laurent	Laurent Baheux	photography, monochromatic, high contrast, nature, animals, landscape	
Bailey	David	David Bailey	photography,	
Bailly	Alice	Alice Bailly	cubism, high contrast, fauvism	
Bak	Karol	Karol Bak	character, vibrant	
Bakshi	Ralph	Ralph Bakshi	cartoon	Giorgio Barbarelli da Castelfranco
Bakst	Léon	Léon Bakst	romanticism, art nouveau	
Balaskas	Christopher	Christopher Balaskas	vibrant, digital, landscape, sci-fi, space	
Baldridge	Jamie	Jamie Baldridge	photography, dark	
Baldung	Hans	Hans Baldung	renaissance,	
Balfour	Ronald	Ronald Balfour	art deco, art nouveau, watercolor	
Balivet	Emily	Emily Balivet	detailed, art nouveau, colorful	
Balke	Peder	Peder Balke	landscape, seascape, cloudscape	
Balla	Giacomo	Giacomo Balla	cubism, abstract	
Balthus Balthus	scene, dark, watercolor	
Baluschek	Hans	Hans Baluschek	dark, cityscape, realism	
Bana	Benedick	Benedick Bana	character, sci-fi, messy, monochromatic, 3d	
Banksy Banksy	street art, graffiti, high contrast	
Barbarelli da Castelfranco	Giorgio	Giorgio Barbarelli da Castelfranco	scene, portrait, renaissance	
Barbey	Thomas	Thomas Barbey	photography, monochromatic, surrealism	
Barbier	George	George Barbier	art deco, art nouveau	
Barker	Cicely Mary	Cicely Mary Barker	fantasy, whimsical, character	
Barker	Clive	Clive Barker	expressionism, pop art, abstract	
Barks	Carl	Carl Barks	cartoon,	
Barlach	Ernst	Ernst Barlach	realism, expressionism, monochromatic, art nouveau	
Barlow	Phyllida	Phyllida Barlow	sculpture, installation, expressionism	
Barlowe	Wayne	Wayne Barlowe	sci-fi, fantasy, dark,	
Barnes	Ernie	Ernie Barnes	melanin, scene, expressionism	
Barnet	Will	Will Barnet	high contrast, scene	
Barney	Matthew	Matthew Barney	photography, surrealism, sculpture	
